Temparature,Humidity ,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
26,52,38,Sandy,Maize,37,0,0,Urea
29,52,45,Loamy,Sugarcane,12,0,36,DAP
34,65,62,Black,Cotton,7,9,30,14-35-14
32,62,34,Red,Tobacco,22,0,20,28-28
28,54,46,Clayey,Paddy,35,0,0,Urea
26,52,35,Sandy,Barley,12,10,13,17-17-17
25,50,64,Red,Cotton,9,0,10,20-20
33,64,50,Loamy,Wheat,41,0,0,Urea
30,60,42,Sandy,Millets,21,0,18,28-28
29,58,33,Black,Oil seeds,9,7,30,14-35-14
27,54,28,Clayey,Pulses,13,0,40,DAP
31,62,48,Sandy,Maize,14,15,12,17-17-17
25,50,65,Loamy,Cotton,36,0,0,Urea
32,62,41,Clayey,Paddy,24,0,22,28-28
26,52,31,Red,Ground Nuts,14,0,41,DAP
31,62,49,Black,Sugarcane,10,13,14,17-17-17
33,64,34,Clayey,Pulses,38,0,0,Urea
25,50,39,Sandy,Barley,21,0,19,28-28
28,54,65,Black,Cotton,39,0,0,Urea
29,58,52,Loamy,Wheat,13,0,36,DAP
30,60,44,Sandy,Millets,10,0,9,20-20
34,65,53,Loamy,Sugarcane,12,14,12,17-17-17
35,68,33,Red,Tobacco,11,0,37,DAP
28,54,37,Black,Millets,36,0,0,Urea
33,64,39,Clayey,Paddy,13,0,10,20-20
26,52,44,Sandy,Maize,23,0,20,28-28
30,60,63,Red,Cotton,9,9,29,14-35-14
32,62,30,Loamy,Ground Nuts,11,0,38,DAP
27,54,47,Sandy,Wheat,37,0,0,Urea
34,65,55,Clayey,Sugarcane,8,11,15,17-17-17
26,52,36,Black,Barley,24,0,21,28-28
29,58,60,Red,Cotton,10,8,28,14-35-14
31,62,40,Loamy,Tobacco,20,0,17,28-28
25,50,43,Sandy,Pulses,14,0,39,DAP
28,54,66,Clayey,Cotton,38,0,0,Urea
33,64,51,Black,Wheat,11,12,11,17-17-17
30,60,32,Red,Millets,8,0,8,20-20
35,68,45,Loamy,Maize,40,0,0,Urea
27,54,58,Sandy,Sugarcane,13,0,35,DAP
32,62,37,Clayey,Barley,22,0,19,28-28
26,52,61,Black,Cotton,7,10,31,14-35-14
29,58,42,Red,Paddy,36,0,0,Urea
34,65,48,Loamy,Pulses,15,0,42,DAP
31,62,54,Sandy,Tobacco,11,14,13,17-17-17
25,50,38,Clayey,Ground Nuts,23,0,18,28-28
28,54,64,Black,Cotton,10,0,11,20-20
33,64,46,Red,Wheat,39,0,0,Urea
30,60,35,Loamy,Millets,9,8,27,14-35-14
27,54,50,Sandy,Maize,12,0,34,DAP
35,68,41,Clayey,Sugarcane,25,0,20,28-28
26,52,59,Black,Cotton,8,11,32,14-35-14
32,62,33,Red,Barley,37,0,0,Urea
29,58,47,Loamy,Paddy,14,13,14,17-17-17
34,65,63,Sandy,Pulses,11,0,40,DAP
31,62,39,Clayey,Tobacco,21,0,16,28-28
25,50,56,Black,Oil seeds,9,9,29,14-35-14
28,54,44,Red,Wheat,34,0,0,Urea
33,64,49,Loamy,Maize,13,12,15,17-17-17
30,60,62,Sandy,Cotton,10,0,12,20-20
27,54,36,Clayey,Millets,22,0,17,28-28
35,68,53,Black,Sugarcane,12,0,37,DAP
26,52,40,Red,Ground Nuts,38,0,0,Urea
32,62,57,Loamy,Barley,8,10,30,14-35-14
29,58,43,Sandy,Paddy,35,0,0,Urea
34,65,66,Clayey,Cotton,11,0,9,20-20
31,62,34,Black,Pulses,15,0,43,DAP
25,50,51,Red,Tobacco,23,0,21,28-28
28,54,38,Loamy,Wheat,40,0,0,Urea
33,64,60,Sandy,Millets,9,7,28,14-35-14
30,60,46,Clayey,Maize,13,14,16,17-17-17
27,54,33,Black,Oil seeds,12,0,36,DAP
35,68,55,Red,Sugarcane,24,0,22,28-28
26,52,42,Loamy,Barley,36,0,0,Urea
32,62,64,Sandy,Cotton,7,8,33,14-35-14
29,58,48,Clayey,Ground Nuts,14,0,38,DAP
34,65,37,Black,Paddy,21,0,15,28-28
31,62,61,Red,Pulses,10,11,10,17-17-17
25,50,45,Loamy,Tobacco,39,0,0,Urea
28,54,52,Sandy,Wheat,11,0,35,DAP
33,64,36,Clayey,Millets,25,0,23,28-28
30,60,58,Black,Maize,8,9,31,14-35-14
27,54,41,Red,Oil seeds,37,0,0,Urea
35,68,65,Loamy,Cotton,12,0,13,20-20
26,52,47,Sandy,Sugarcane,15,13,17,17-17-17
32,62,32,Clayey,Barley,22,0,19,28-28
29,58,56,Black,Ground Nuts,10,0,39,DAP
34,65,43,Red,Paddy,34,0,0,Urea
31,62,67,Loamy,Pulses,9,10,14,17-17-17
25,50,40,Sandy,Tobacco,23,0,20,28-28
28,54,54,Clayey,Wheat,11,8,26,14-35-14
33,64,35,Black,Millets,41,0,0,Urea
30,60,59,Red,Maize,14,0,34,DAP
27,54,46,Loamy,Oil seeds,13,12,12,17-17-17
35,68,38,Sandy,Cotton,36,0,0,Urea
26,52,63,Clayey,Sugarcane,8,0,11,20-20
32,62,44,Black,Barley,20,0,16,28-28
29,58,50,Red,Ground Nuts,12,7,29,14-35-14
34,65,39,Loamy,Paddy,37,0,0,Urea
31,62,62,Sandy,Pulses,10,0,41,DAP
25,50,34,Clayey,Tobacco,24,0,22,28-28
